Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
Squashathon Advance,Sha Tin 4,HK Squash Centre,1,13/10/2025,0-5,"['0-3', '1-3', '2-3', '1-3', '1-3']",0,5,5,15,home,Sha Tin 4,Sha Tin 4,Sha Tin 4,Sha Tin 4,Sha Tin 4
Kwai Tsing District Squash Club,i-Mask Advance Squash Club 4,Cornwall Street Squash Centre,1,13/10/2025,4-1,"['3-0', '3-0', '0-3', '3-0', '3-2']",4,1,12,5,shared_home,Kwai Tsing District Squash Club,Kwai Tsing District Squash Club,i-Mask Advance Squash Club 4,Kwai Tsing District Squash Club,Kwai Tsing District Squash Club
Banbil,RELAY 1,HK Squash Centre,1,13/10/2025,0-5,"['1-3', '0-3', '2-3', '0-3', '0-3']",0,5,3,15,home,RELAY 1,RELAY 1,RELAY 1,RELAY 1,RELAY 1
Thunder 2,Bravo D10,Cornwall Street Squash Centre,1,13/10/2025,5-0,"['3-2', '3-0', '3-2', '3-0', '3-0']",5,0,15,4,shared_home,Thunder 2,Thunder 2,Thunder 2,Thunder 2,Thunder 2
United Services Recreation Club 3,Hong Kong Cricket Club D10,United Services Recreation Club,1,13/10/2025,3-2,"['0-3', '1-3', '3-1', '3-0', '3-0']",3,2,10,7,home,Hong Kong Cricket Club D10,Hong Kong Cricket Club D10,United Services Recreation Club 3,United Services Recreation Club 3,United Services Recreation Club 3
Bravo D10,United Services Recreation Club 3,Cornwall Street Squash Centre,2,20/10/2025,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15,home,United Services Recreation Club 3,United Services Recreation Club 3,United Services Recreation Club 3,United Services Recreation Club 3,United Services Recreation Club 3
RELAY 1,Thunder 2,Cornwall Street Squash Centre,2,20/10/2025,4-1,"['3-0', '3-0', '3-1', '3-1', '0-3']",4,1,12,5,shared_home,RELAY 1,RELAY 1,RELAY 1,RELAY 1,Thunder 2
i-Mask Advance Squash Club 4,Banbil,Cornwall Street Squash Centre,2,20/10/2025,3-2,"['2-3', '3-2', '0-3', '3-2', '3-0']",3,2,11,10,home,Banbil,i-Mask Advance Squash Club 4,Banbil,i-Mask Advance Squash Club 4,i-Mask Advance Squash Club 4
Sha Tin 4,Kwai Tsing District Squash Club,Cornwall Street Squash Centre,2,20/10/2025,5-0,"['3-0', '3-0', '3-1', '3-0', '3-1']",5,0,15,2,shared_home,Sha Tin 4,Sha Tin 4,Sha Tin 4,Sha Tin 4,Sha Tin 4
