Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
South China Athletic Association,100.0,50.0,100.0,50.0,0.0,60.0,10
Alpha CUHK,100.0,66.66666666666666,33.33333333333333,66.66666666666666,0.0,53.33333333333333,14
Star River 2,0.0,50.0,0.0,100.0,100.0,50.0,7
North District Sports Association 1,0.0,100.0,50.0,100.0,0.0,50.0,8
ZOMA,33.33333333333333,33.33333333333333,33.33333333333333,100.0,33.33333333333333,46.666666666666664,15
CSD Squash Team,100.0,100.0,0.0,0.0,0.0,40.0,2
Hong Kong Racketlon Assoication 2,100.0,0.0,0.0,0.0,0.0,20.0,5
Hong Kong Football Club 12A,0.0,0.0,100.0,0.0,0.0,20.0,5
Latecomers,100.0,0.0,0.0,0.0,0.0,20.0,5
Hong Kong Football Club 12B,0.0,50.0,0.0,33.33333333333333,0.0,16.666666666666664,17
