Home Team,Away Team,Venue,Match Week,Date
TNG 3,Electrify Squash Div 15,Cornwall Street Squash Centre,16,2025-03-15
Electrify Squash Div 15,Serve - Ivors,HK Squash Centre,17,2025-03-22
Squashathon MeGa,Squash-On,HK Squash Centre,17,2025-03-22
Fusion Squash Club 3,i-Mask Advance Squash Club 6,HK Squash Centre,17,2025-03-22
TNG 3,RELAY 2,Cornwall Street Squash Centre,17,2025-03-22
RELAY 2,Electrify Squash Div 15,Sir Denys Roberts Squash Court,18,2025-03-29
i-Mask Advance Squash Club 6,TNG 3,Cornwall Street Squash Centre,18,2025-03-29
Squash-On,Fusion Squash Club 3,HK Squash Centre,18,2025-03-29
Serve - Ivors,Squashathon MeGa,HK Squash Centre,18,2025-03-29
Electrify Squash Div 15,Squashathon MeGa,HK Squash Centre,19,2025-04-05
Fusion Squash Club 3,Serve - Ivors,HK Squash Centre,19,2025-04-05
TNG 3,Squash-On,HK Squash Centre,19,2025-04-05
i-Mask Advance Squash Club 6,RELAY 2,HK Squash Centre,19,2025-04-05
i-Mask Advance Squash Club 6,Electrify Squash Div 15,Cornwall Street Squash Centre,20,2025-04-12
Squash-On,RELAY 2,HK Squash Centre,20,2025-04-12
Serve - Ivors,TNG 3,HK Squash Centre,20,2025-04-12
Squashathon MeGa,Fusion Squash Club 3,HK Squash Centre,20,2025-04-12
i-Mask Advance Squash Club 6,Electrify Squash Div 15,Cornwall Street Squash Centre,21,2025-04-26
Squash-On,RELAY 2,HK Squash Centre,21,2025-04-26
Serve - Ivors,TNG 3,HK Squash Centre,21,2025-04-26
Squashathon MeGa,Fusion Squash Club 3,HK Squash Centre,21,2025-04-26
