Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
TKO Junior 2,NEXUS 4,Cornwall Street Squash Centre,1,04/10/2025,3-2,"['1-3', '1-3', '3-0', '3-0', '3-0']",3,2,11,6,shared_home,NEXUS 4,NEXUS 4,TKO Junior 2,TKO Junior 2,TKO Junior 2
Electrify Squash Div 15,RC,HK Squash Centre,1,04/10/2025,2-3,"['3-0', '1-3', '0-3', '3-0', 'CR']",2,3,7,9,home,Electrify Squash Div 15,RC,RC,Electrify Squash Div 15,
Dream Catchers,Squashathon Junior,HK Squash Centre,1,04/10/2025,1-4,"['1-3', '0-3', '1-3', '3-0', '0-3']",1,4,5,12,neutral,Squashathon Junior,Squashathon Junior,Squashathon Junior,Dream Catchers,Squashathon Junior
Vitality Squash 3,Happy Squash 5,HK Squash Centre,1,04/10/2025,0-5,"['0-3', '0-3', '0-3', 'CR', 'CR']",0,5,0,15,home,Happy Squash 5,Happy Squash 5,Happy Squash 5,,
Vitality Squash 3,Dream Catchers,HK Squash Centre,2,11/10/2025,2-3,"['3-1', '1-3', '0-3', '1-3', '3-0']",2,3,8,10,home,Vitality Squash 3,Dream Catchers,Dream Catchers,Dream Catchers,Vitality Squash 3
Squashathon Junior,Electrify Squash Div 15,Cornwall Street Squash Centre,2,11/10/2025,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0,home,Squashathon Junior,Squashathon Junior,Squashathon Junior,Squashathon Junior,Squashathon Junior
RC,TKO Junior 2,HK Squash Centre,2,11/10/2025,1-4,"['3-2', '0-3', '0-3', '0-3', '0-3']",1,4,3,14,neutral,RC,TKO Junior 2,TKO Junior 2,TKO Junior 2,TKO Junior 2
Happy Squash 5,NEXUS 4,Cornwall Street Squash Centre,2,11/10/2025,4-1,"['0-3', '3-0', '3-0', '3-0', '3-0']",4,1,12,3,shared_home,NEXUS 4,Happy Squash 5,Happy Squash 5,Happy Squash 5,Happy Squash 5
TKO Junior 2,Squashathon Junior,Cornwall Street Squash Centre,3,18/10/2025,3-2,"['0-3', '0-3', '3-0', '3-0', '3-0']",3,2,9,6,shared_home,Squashathon Junior,Squashathon Junior,TKO Junior 2,TKO Junior 2,TKO Junior 2
Electrify Squash Div 15,Vitality Squash 3,HK Squash Centre,3,18/10/2025,2-3,"['3-2', '1-3', '3-0', '1-3', '0-3']",2,3,8,11,shared_home,Electrify Squash Div 15,Vitality Squash 3,Electrify Squash Div 15,Vitality Squash 3,Vitality Squash 3
Dream Catchers,Happy Squash 5,HK Squash Centre,3,18/10/2025,3-2,"['3-0', '3-1', '0-3', '3-0', '0-3']",3,2,9,7,neutral,Dream Catchers,Dream Catchers,Happy Squash 5,Dream Catchers,Happy Squash 5
