Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
ZOMA,South China Athletic Association,Cornwall Street Squash Centre,1,02/10/2024,1-4,"['0-3', '0-3', '1-3', '1-3', '3-1']",1,4,5,13,South China Athletic Association,South China Athletic Association,South China Athletic Association,South China Athletic Association,ZOMA
Latecomers,Alpha CUHK,HK Squash Centre,1,02/10/2024,0-5,"['0-3', '0-3', '0-3', '0-3', 'CR']",0,5,0,15,Alpha CUHK,Alpha CUHK,Alpha CUHK,Alpha CUHK,
Winter Warriors,Star River 2,HK Squash Centre,1,02/10/2024,2-3,"['3-1', '3-0', 'CR', 'CR', 'CR']",2,3,6,10,Winter Warriors,Winter Warriors,,,
Sea Bear,North District Sports Association 1,Cornwall Street Squash Centre,1,02/10/2024,2-3,"['1-3', '0-3', '3-0', '1-3', '3-1']",2,3,8,10,North District Sports Association 1,North District Sports Association 1,Sea Bear,North District Sports Association 1,Sea Bear
Hong Kong Racketlon Assoication 2,CSD Squash Team,HK Squash Centre,1,02/10/2024,2-3,"['0-3', '0-3', '3-0', '1-3', 'WO']",2,3,4,12,CSD Squash Team,CSD Squash Team,Hong Kong Racketlon Assoication 2,CSD Squash Team,
Hong Kong Football Club 12A,Hong Kong Football Club 12B,Hong Kong Football Club,1,02/10/2024,5-0,"['3-0', '3-1', '3-0', '3-0', '3-0']",5,0,15,1,Hong Kong Football Club 12A,Hong Kong Football Club 12A,Hong Kong Football Club 12A,Hong Kong Football Club 12A,Hong Kong Football Club 12A
South China Athletic Association,CSD Squash Team,HK Squash Centre,2,09/10/2024,5-0,"['3-0', '3-2', '3-1', 'CR', 'CR']",5,0,15,3,South China Athletic Association,South China Athletic Association,South China Athletic Association,,
North District Sports Association 1,Hong Kong Racketlon Assoication 2,Cornwall Street Squash Centre,2,09/10/2024,4-1,"['2-3', '3-0', '3-1', '3-0', '3-0']",4,1,14,4,Hong Kong Racketlon Assoication 2,North District Sports Association 1,North District Sports Association 1,North District Sports Association 1,North District Sports Association 1
Star River 2,Sea Bear,Cornwall Street Squash Centre,2,09/10/2024,3-2,"['3-1', '3-2', '0-3', '1-3', '3-1']",3,2,10,10,Star River 2,Star River 2,Sea Bear,Sea Bear,Star River 2
Winter Warriors,Hong Kong Football Club 12B,HK Squash Centre,2,09/10/2024,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0,Winter Warriors,Winter Warriors,Winter Warriors,Winter Warriors,Winter Warriors
Alpha CUHK,Hong Kong Football Club 12A,Cornwall Street Squash Centre,2,09/10/2024,4-1,"['3-0', '3-0', '2-3', '3-1', '3-1']",4,1,14,5,Alpha CUHK,Alpha CUHK,Hong Kong Football Club 12A,Alpha CUHK,Alpha CUHK
Latecomers,ZOMA,HK Squash Centre,2,09/10/2024,1-4,"['3-1', '2-3', '0-3', '0-3', '2-3']",1,4,7,13,Latecomers,ZOMA,ZOMA,ZOMA,ZOMA
Latecomers,South China Athletic Association,HK Squash Centre,3,16/10/2024,1-4,"['3-0', '0-3', '0-3', '0-3', 'CR']",1,4,3,12,Latecomers,South China Athletic Association,South China Athletic Association,South China Athletic Association,
Hong Kong Football Club 12A,ZOMA,Hong Kong Football Club,3,16/10/2024,3-2,"['0-3', '3-2', '3-2', '0-3', '3-0']",3,2,9,10,ZOMA,Hong Kong Football Club 12A,Hong Kong Football Club 12A,ZOMA,Hong Kong Football Club 12A
Winter Warriors,Alpha CUHK,HK Squash Centre,3,16/10/2024,4-1,"['0-3', '3-0', '3-0', '3-0', '3-0']",4,1,12,3,Alpha CUHK,Winter Warriors,Winter Warriors,Winter Warriors,Winter Warriors
Sea Bear,Hong Kong Football Club 12B,Cornwall Street Squash Centre,3,16/10/2024,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0,Sea Bear,Sea Bear,Sea Bear,Sea Bear,Sea Bear
Hong Kong Racketlon Assoication 2,Star River 2,HK Squash Centre,3,16/10/2024,2-3,"['3-2', '1-3', '3-0', '1-3', '0-3']",2,3,8,11,Hong Kong Racketlon Assoication 2,Star River 2,Hong Kong Racketlon Assoication 2,Star River 2,Star River 2
CSD Squash Team,North District Sports Association 1,HK Squash Centre,3,16/10/2024,1-4,"['3-0', '1-3', '1-3', 'CR', 'CR']",1,4,5,12,CSD Squash Team,North District Sports Association 1,North District Sports Association 1,,
South China Athletic Association,North District Sports Association 1,HK Squash Centre,4,23/10/2024,3-2,"['3-2', '0-3', '3-0', '0-3', '3-1']",3,2,9,9,South China Athletic Association,North District Sports Association 1,South China Athletic Association,North District Sports Association 1,South China Athletic Association
Star River 2,CSD Squash Team,Cornwall Street Squash Centre,4,23/10/2024,3-2,"['1-3', '0-3', 'CR', 'CR', 'CR']",3,2,10,6,CSD Squash Team,CSD Squash Team,,,
Hong Kong Racketlon Assoication 2,Hong Kong Football Club 12B,HK Squash Centre,4,23/10/2024,3-2,"['3-0', '1-3', '3-1', '0-3', '3-0']",3,2,10,7,Hong Kong Racketlon Assoication 2,Hong Kong Football Club 12B,Hong Kong Racketlon Assoication 2,Hong Kong Football Club 12B,Hong Kong Racketlon Assoication 2
Alpha CUHK,Sea Bear,Cornwall Street Squash Centre,4,23/10/2024,4-1,"['3-0', '0-3', '3-1', '3-0', '3-1']",4,1,12,5,Alpha CUHK,Sea Bear,Alpha CUHK,Alpha CUHK,Alpha CUHK
Winter Warriors,ZOMA,HK Squash Centre,4,23/10/2024,4-1,"['3-0', '3-2', '3-0', '2-3', '3-0']",4,1,14,5,Winter Warriors,Winter Warriors,Winter Warriors,ZOMA,Winter Warriors
Hong Kong Football Club 12A,Latecomers,Hong Kong Football Club,4,23/10/2024,4-1,"['0-3', '3-0', '3-0', '3-0', '3-0']",4,1,12,3,Latecomers,Hong Kong Football Club 12A,Hong Kong Football Club 12A,Hong Kong Football Club 12A,Hong Kong Football Club 12A
Hong Kong Football Club 12A,South China Athletic Association,Hong Kong Football Club,5,30/10/2024,3-2,"['1-3', '3-2', '0-3', '3-1', '3-1']",3,2,10,10,South China Athletic Association,Hong Kong Football Club 12A,South China Athletic Association,Hong Kong Football Club 12A,Hong Kong Football Club 12A
Winter Warriors,Latecomers,HK Squash Centre,5,30/10/2024,5-0,"['3-1', '3-0', '3-0', '3-0', '3-0']",5,0,15,1,Winter Warriors,Winter Warriors,Winter Warriors,Winter Warriors,Winter Warriors
Sea Bear,ZOMA,Cornwall Street Squash Centre,5,30/10/2024,4-1,"['0-3', '3-0', '3-1', '3-0', '3-0']",4,1,12,4,ZOMA,Sea Bear,Sea Bear,Sea Bear,Sea Bear
Hong Kong Racketlon Assoication 2,Alpha CUHK,HK Squash Centre,5,30/10/2024,2-3,"['0-3', '2-3', '3-2', '0-3', '3-2']",2,3,8,13,Alpha CUHK,Alpha CUHK,Hong Kong Racketlon Assoication 2,Alpha CUHK,Hong Kong Racketlon Assoication 2
CSD Squash Team,Hong Kong Football Club 12B,HK Squash Centre,5,30/10/2024,1-4,"['3-0', '0-3', 'CR', 'CR', 'CR']",1,4,3,12,CSD Squash Team,Hong Kong Football Club 12B,,,
North District Sports Association 1,Star River 2,Cornwall Street Squash Centre,5,30/10/2024,4-1,"['1-3', '3-0', '3-0', '3-0', '3-0']",4,1,13,3,Star River 2,North District Sports Association 1,North District Sports Association 1,North District Sports Association 1,North District Sports Association 1
South China Athletic Association,Star River 2,HK Squash Centre,6,06/11/2024,4-1,"['1-3', '3-0', '3-0', '3-2', '3-1']",4,1,13,6,Star River 2,South China Athletic Association,South China Athletic Association,South China Athletic Association,South China Athletic Association
Hong Kong Football Club 12B,North District Sports Association 1,Hong Kong Football Club,6,06/11/2024,2-3,"['0-3', '0-3', '3-2', '0-3', '3-2']",2,3,6,13,North District Sports Association 1,North District Sports Association 1,Hong Kong Football Club 12B,North District Sports Association 1,Hong Kong Football Club 12B
Alpha CUHK,CSD Squash Team,Cornwall Street Squash Centre,6,06/11/2024,4-1,"['1-3', '3-0', '3-0', '3-0', 'CR']",4,1,13,3,CSD Squash Team,Alpha CUHK,Alpha CUHK,Alpha CUHK,
