Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
Electrify Squash Div 13,100.0,100.0,100.0,50.0,100.0,90.0,9
Fusion Squash Club 2,66.66666666666666,100.0,66.66666666666666,66.66666666666666,100.0,80.0,14
SocGen Squash,33.33333333333333,100.0,50.0,100.0,100.0,76.66666666666666,10
Sha Tin 6,83.33333333333334,83.33333333333334,33.33333333333333,66.66666666666666,50.0,63.33333333333333,26
HKIS Div 13,50.0,50.0,0.0,100.0,0.0,40.0,6
i-Mask Advance Squash Club 5,100.0,25.0,50.0,0.0,0.0,35.0,15
Energy Squash Club 2,0.0,100.0,50.0,0.0,0.0,30.0,7
X-Alpha 5,100.0,0.0,20.0,20.0,0.0,28.0,24
Happy Squash 4,37.5,62.5,12.5,25.0,0.0,27.5,40
Yuen Long District Sports Association Limited,50.0,16.666666666666664,16.666666666666664,20.0,20.0,24.666666666666664,28
Kinetic 4,60.0,0.0,20.0,25.0,0.0,21.0,21
Energy Squash Club 1,25.0,0.0,0.0,25.0,0.0,10.0,19
