Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,VenueType,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
Hong Kong Cricket Club D15,Royal Hong Kong Yacht Club Div 15,Hong Kong Cricket Club,1,04/10/2025,3-2,"['0-3', '2-3', '3-0', '3-0', '3-0']",3,2,11,6,home,Royal Hong Kong Yacht Club Div 15,Royal Hong Kong Yacht Club Div 15,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15
Squash Busters,HKIS Div 15,Cornwall Street Squash Centre,1,04/10/2025,5-0,"['3-0', '3-0', '3-0', '3-0', '3-0']",5,0,15,0,neutral,Squash Busters,Squash Busters,Squash Busters,Squash Busters,Squash Busters
Sha Tin 6,United Services Recreation Club 4,Cornwall Street Squash Centre,1,04/10/2025,3-2,"['0-3', '1-3', 'WO', '3-0', '3-0']",3,2,10,6,home,United Services Recreation Club 4,United Services Recreation Club 4,,Sha Tin 6,Sha Tin 6
North District Sports Association 3,Squashathon X,Cornwall Street Squash Centre,1,04/10/2025,2-3,"['0-3', '0-3', '3-0', '0-3', '3-0']",2,3,6,9,neutral,Squashathon X,Squashathon X,North District Sports Association 3,Squashathon X,North District Sports Association 3
Royal Hong Kong Yacht Club Div 15,Squashathon X,Royal Hong Kong Yacht Club,2,11/10/2025,3-2,"['1-3', '1-3', 'CR', 'CR', 'CR']",3,2,11,6,home,Squashathon X,Squashathon X,,,
United Services Recreation Club 4,North District Sports Association 3,United Services Recreation Club,2,11/10/2025,4-1,"['3-0', '3-1', '3-0', '3-0', '0-3']",4,1,12,4,home,United Services Recreation Club 4,United Services Recreation Club 4,United Services Recreation Club 4,United Services Recreation Club 4,North District Sports Association 3
HKIS Div 15,Sha Tin 6,HK Squash Centre,2,11/10/2025,0-5,"['0-3', '0-3', '0-3', '0-3', '0-3']",0,5,0,15,home,Sha Tin 6,Sha Tin 6,Sha Tin 6,Sha Tin 6,Sha Tin 6
Hong Kong Cricket Club D15,Squash Busters,Hong Kong Cricket Club,2,11/10/2025,5-0,"['3-0', '3-1', '3-0', '3-0', '3-2']",5,0,15,3,home,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15
Squash Busters,Royal Hong Kong Yacht Club Div 15,Kwun Chung Sports Centre,3,18/10/2025,4-1,"['3-0', '3-0', '2-3', '3-2', '3-0']",4,1,14,5,home,Squash Busters,Squash Busters,Royal Hong Kong Yacht Club Div 15,Squash Busters,Squash Busters
Sha Tin 6,Hong Kong Cricket Club D15,Cornwall Street Squash Centre,3,18/10/2025,2-3,"['3-1', '3-0', '0-3', '0-3', '0-3']",2,3,6,10,home,Sha Tin 6,Sha Tin 6,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15,Hong Kong Cricket Club D15
