Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Sha Tin 5,4,4,0,18,14,6
Kinetic 3,4,4,0,16,12,8
Global Squash 2,4,3,1,14,11,9
The Squash Club 3,4,2,2,14,12,8
BOSS,3,2,1,13,11,4
Star River 1,4,2,2,12,10,10
7NT,3,1,2,8,7,8
Invader Squash,4,1,3,8,7,13
Tuen Mun Squash Club,4,1,3,7,6,14
i-Mask Advance Squash Club 4,3,0,3,6,6,9
HKCC Tuesday Night Rockers,3,0,3,4,4,11
