Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Sha Tin 5,13,13,0,61,48,17
Kinetic 3,13,10,3,47,37,28
The Squash Club 3,13,8,5,46,38,27
Tuen Mun Squash Club,13,7,6,39,32,33
Global Squash 2,13,6,7,39,33,32
BOSS,12,6,6,37,31,29
HKCC Tuesday Night Rockers,12,6,6,37,31,29
Star River 1,14,5,9,37,32,38
i-Mask Advance Squash Club 4,12,5,7,32,27,33
7NT,12,2,10,24,22,38
Invader Squash,13,2,11,21,19,46
