Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Global Squash 2,Harbour Road Sports Centre,4.090909090909091,3.5454545454545454,0.5454545454545454
Star River 2,Cornwall Street Squash Centre,2.8181818181818183,2.4545454545454546,0.36363636363636376
Winter Warriors,HK Squash Centre,2.272727272727273,2.0,0.27272727272727293
CSD Squash Team,HK Squash Centre,1.0,0.9090909090909091,0.09090909090909094
Latecomers,HK Squash Centre,1.0909090909090908,1.0909090909090908,0.0
Airporterz,Kwun Chung Sports Centre,2.8,2.8181818181818183,-0.01818181818181852
SQUASHTASTIC 8,Kwun Chung Sports Centre,1.5454545454545454,1.6,-0.054545454545454675
Kinetic 3,HK Squash Centre,3.9,4.181818181818182,-0.28181818181818175
ZOMA,Cornwall Street Squash Centre,2.8181818181818183,3.1818181818181817,-0.3636363636363633
Hong Kong Football Club 16,Hong Kong Football Club,2.4545454545454546,2.8181818181818183,-0.36363636363636376
Sha Tin Squash Rackets Club 6,Cornwall Street Squash Centre,3.6363636363636362,4.090909090909091,-0.4545454545454546
i-Mask Advance Squash Club 6,Cornwall Street Squash Centre,1.1818181818181819,1.7,-0.5181818181818181
