Home Team,Away Team,Venue,Match Week,Date
Hong Kong Football Club M4A,Royal Hong Kong Yacht Club M4,Hong Kong Football Club,16,2025-02-27
Hong Kong Club Blue,SKCSC,HK CLUB,16,2025-02-27
WAKO,Hong Kong Football Club M4B,Masters - Harbour Road Sports Centre,16,2025-02-27
United Services Recreation Club M4,Bolton,United Services Recreation Club,16,2025-02-27
Royal Hong Kong Yacht Club M4,Bolton,Royal Hong Kong Yacht Club,17,2025-03-06
Hong Kong Football Club M4B,United Services Recreation Club M4,Hong Kong Football Club,17,2025-03-06
SKCSC,WAKO,Masters - Cornwall Street Squash Centre,17,2025-03-06
Hong Kong Club Blue,Hong Kong Football Club M4A,HK CLUB,17,2025-03-06
Hong Kong Club Blue,Royal Hong Kong Yacht Club M4,HK CLUB,18,2025-03-13
WAKO,Hong Kong Football Club M4A,Masters - Harbour Road Sports Centre,18,2025-03-13
United Services Recreation Club M4,SKCSC,United Services Recreation Club,18,2025-03-13
Hong Kong Football Club M4B,Bolton,Hong Kong Football Club,18,2025-03-13
Royal Hong Kong Yacht Club M4,Hong Kong Football Club M4B,Royal Hong Kong Yacht Club,19,2025-03-20
SKCSC,Bolton,Masters - Cornwall Street Squash Centre,19,2025-03-20
Hong Kong Football Club M4A,United Services Recreation Club M4,Hong Kong Football Club,19,2025-03-20
Hong Kong Club Blue,WAKO,HK CLUB,19,2025-03-20
WAKO,Royal Hong Kong Yacht Club M4,Masters - Harbour Road Sports Centre,20,2025-03-27
United Services Recreation Club M4,Hong Kong Club Blue,United Services Recreation Club,20,2025-03-27
Bolton,Hong Kong Football Club M4A,Masters - HK Squash Centre,20,2025-03-27
Hong Kong Football Club M4B,SKCSC,Hong Kong Football Club,20,2025-03-27
Royal Hong Kong Yacht Club M4,Hong Kong Football Club M4A,Royal Hong Kong Yacht Club,21,2025-04-03
SKCSC,Hong Kong Club Blue,Masters - Cornwall Street Squash Centre,21,2025-04-03
Hong Kong Football Club M4B,WAKO,Hong Kong Football Club,21,2025-04-03
Bolton,United Services Recreation Club M4,Masters - HK Squash Centre,21,2025-04-03
