Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 2,2,2,0,10,8,2,0,1,0,0
Greenfield,2,2,0,9,7,3,0,1,0,0
Arctic Circle,2,1,1,7,6,4,0,0,0,0
TNG 1,2,1,1,6,5,5,0,0,0,0
Squashathon PLZ,2,1,1,6,5,5,0,0,0,0
North District Sports Association 2,2,1,1,6,5,5,0,0,0,0
Royal Hong Kong Yacht Club Div 13,2,1,1,6,5,5,0,0,0,0
Bravo D13,2,1,1,6,5,5,1,0,0,0
Star River 3,2,1,1,5,4,6,0,0,0,0
M&M Squash,2,1,1,5,4,6,0,0,0,0
Physical Chess 4,2,0,2,4,4,6,0,0,0,0
Vitality Squash 3,2,0,2,2,2,8,1,0,0,0
