Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
FWD,v,Hong Kong Cricket Club D1,HK Squash Centre,19:00:00,"1-2(0-3,1-3,3-0)",1,30/10/2025
Kowloon Cricket Club 1A,v,Kowloon Cricket Club 1B,Kowloon Cricket Club,19:00:00,"3-0(3-0,3-0,3-0)",1,30/10/2025
Hong Kong Football Club 1A,v,Hong Kong Football Club 1B,Hong Kong Football Club,19:00:00,"3-0(3-0,3-0,3-0)",1,30/10/2025
Kowloon Cricket Club 1B,v,Hong Kong Cricket Club D1,Kowloon Cricket Club,19:00:00,,2,06/11/2025
FWD,v,Hong Kong Football Club 1B,HK Squash Centre,19:00:00,"0-3(0-3,0-3,0-3)",2,06/11/2025
Kowloon Cricket Club 1A,v,Hong Kong Football Club 1A,Kowloon Cricket Club,19:00:00,"0-3(0-3,2-3,1-3)",2,06/11/2025
Hong Kong Football Club 1A,v,Kowloon Cricket Club 1B,Hong Kong Football Club,19:00:00,,3,20/11/2025
FWD,v,Kowloon Cricket Club 1A,HK Squash Centre,19:00:00,,3,20/11/2025
Hong Kong Cricket Club D1,v,Hong Kong Football Club 1B,Hong Kong Cricket Club,19:00:00,,3,20/11/2025
Kowloon Cricket Club 1B,v,Hong Kong Football Club 1B,Kowloon Cricket Club,19:00:00,,4,11/12/2025
Hong Kong Cricket Club D1,v,Kowloon Cricket Club 1A,Hong Kong Cricket Club,19:00:00,,4,11/12/2025
Hong Kong Football Club 1A,v,FWD,Hong Kong Football Club,19:00:00,,4,11/12/2025
FWD,v,Kowloon Cricket Club 1B,Cornwall Street Squash Centre,19:00:00,,5,18/12/2025
Hong Kong Cricket Club D1,v,Hong Kong Football Club 1A,Hong Kong Cricket Club,19:00:00,,5,18/12/2025
Kowloon Cricket Club 1A,v,Hong Kong Football Club 1B,Kowloon Cricket Club,19:00:00,,5,18/12/2025
Hong Kong Cricket Club D1,v,FWD,Hong Kong Cricket Club,19:00:00,,6,23/04/2026
Kowloon Cricket Club 1B,v,Kowloon Cricket Club 1A,Kowloon Cricket Club,19:00:00,,6,23/04/2026
Hong Kong Football Club 1B,v,Hong Kong Football Club 1A,Hong Kong Football Club,19:00:00,,6,23/04/2026
Hong Kong Cricket Club D1,v,Kowloon Cricket Club 1B,Hong Kong Cricket Club,19:00:00,,7,30/04/2026
Hong Kong Football Club 1B,v,FWD,Hong Kong Football Club,19:00:00,,7,30/04/2026
Hong Kong Football Club 1A,v,Kowloon Cricket Club 1A,Hong Kong Football Club,19:00:00,,7,30/04/2026
Kowloon Cricket Club 1B,v,Hong Kong Football Club 1A,Kowloon Cricket Club,19:00:00,,8,07/05/2026
Kowloon Cricket Club 1A,v,FWD,Kowloon Cricket Club,19:00:00,,8,07/05/2026
Hong Kong Football Club 1B,v,Hong Kong Cricket Club D1,Hong Kong Football Club,19:00:00,,8,07/05/2026
Hong Kong Football Club 1B,v,Kowloon Cricket Club 1B,Hong Kong Football Club,19:00:00,,9,14/05/2026
Kowloon Cricket Club 1A,v,Hong Kong Cricket Club D1,Kowloon Cricket Club,19:00:00,,9,14/05/2026
FWD,v,Hong Kong Football Club 1A,HK Squash Centre,19:00:00,,9,14/05/2026
Kowloon Cricket Club 1B,v,FWD,Kowloon Cricket Club,19:00:00,,10,21/05/2026
Hong Kong Football Club 1A,v,Hong Kong Cricket Club D1,Hong Kong Football Club,19:00:00,,10,21/05/2026
Hong Kong Football Club 1B,v,Kowloon Cricket Club 1A,Hong Kong Football Club,19:00:00,,10,21/05/2026
