Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Football Club 5A,3,3,0,15,12,3,0,0,0,0
Physical Chess 1,3,3,0,13,10,5,0,0,0,0
Happy Squash 2,3,2,1,11,9,6,0,0,0,0
Hong Kong Racketlon Association 1,3,2,1,9,7,8,0,0,0,0
Uncle,2,2,0,9,7,3,0,0,0,0
The Squash Club 1,3,1,2,8,7,8,0,0,0,0
X-Alpha 2,3,1,2,8,7,8,0,0,0,0
Hong Kong Football Club 5B,3,0,3,5,5,10,0,0,0,0
Squashathon,2,0,2,3,3,7,0,0,0,0
i-Mask Advance Squash Club 1,3,0,3,3,3,12,0,0,0,0
