Team,Played,Won,Lost,Points,Division,Season,Rank,Win Percentage
Hong Kong Cricket Club 5,18,8,10,40,11,2016-2017,7,0.444444444
Hong Kong Cricket Club 6,18,5,13,45,12B,2016-2017,6,0.277777778
HKCC Wednesday Night Rockers,20,18,2,98,16B,2016-2017,1,0.9
Hong Kong Cricket Club 8,18,6,12,38,18A,2016-2017,5,0.333333333
Hong Kong Cricket Club 9,17,5,12,23,19,2016-2017,5,0.294117647
Hong Kong Cricket Club 1,16,10,6,64,4,2016-2017,3,0.625
Hong Kong Cricket Club 2,20,8,12,51,6,2016-2017,8,0.4
Hong Kong Cricket Club 3,20,5,15,36,8A,2016-2017,6,0.25
Hong Kong Cricket Club 4,21,18,3,95,9,2016-2017,2,0.857142857
Hong Kong Cricket Club L2B,18,15,3,72,L2,2016-2017,1,0.833333333
Hong Kong Cricket Club L2A,18,8,10,45,L2,2016-2017,4,0.444444444
Hong Kong Cricket Club L3,12,9,3,46,L3,2016-2017,1,0.75
Hong Kong Cricket Club M1,21,16,5,71,M1,2016-2017,2,0.761904762
Hong Kong Cricket Club M2,20,7,13,49,M2,2016-2017,5,0.35
Hong Kong Cricket Club M3,21,5,16,32,M3,2016-2017,8,0.238095238
Hong Kong Cricket Club M4,21,11,10,59,M4,2016-2017,5,0.523809524
Hong Kong Cricket Club 6,22,13,9,78,11,2017-2018,3,0.590909091
Hong Kong Cricket Club Junior 1,15,1,14,6,12A,2017-2018,9,0.066666667
HKCC Tuesday Night Rockers,21,6,15,42,15A,2017-2018,6,0.285714286
Hong Kong Cricket Club Junior 2,22,19,3,101,18,2017-2018,2,0.863636364
Hong Kong Cricket Club Junior 3,22,14,8,72,19,2017-2018,5,0.636363636
Hong Kong Cricket Club 1,18,13,5,68,3,2017-2018,1,0.722222222
Hong Kong Cricket Club 2,18,9,9,53,4,2017-2018,6,0.5
Hong Kong Cricket Club 3,21,9,12,48,6,2017-2018,5,0.428571429
Hong Kong Cricket Club 5,16,7,9,46,8,2017-2018,5,0.4375
Hong Kong Cricket Club 4,15,5,10,30,8,2017-2018,7,0.333333333
Hong Kong Cricket Club L2,15,13,2,59,L2,2017-2018,1,0.866666667
Hong Kong Cricket Club Rockettes,18,14,4,57,L3,2017-2018,3,0.777777778
Hong Kong Cricket Club M1,16,13,3,65,M1,2017-2018,1,0.8125
Hong Kong Cricket Club M3,18,12,6,62,M3,2017-2018,3,0.666666667
Hong Kong Cricket Club Young Masters,16,11,5,59,M4,2017-2018,5,0.6875
Hong Kong Cricket Club 5,22,10,12,57,10,2018-2019,9,0.454545455
Hong Kong Cricket Club 6,21,20,1,102,11B,2018-2019,1,0.952380952
Hong Kong Cricket Club 7,18,5,13,32,12A,2018-2019,7,0.277777778
HKCC Tuesday Night Rockers,22,9,13,58,15,2018-2019,9,0.409090909
Hong Kong Cricket Club 8,22,19,3,103,18,2018-2019,1,0.863636364
Hong Kong Cricket Club 9,18,11,7,61,19B,2018-2019,4,0.611111111
Hong Kong Cricket Club 1,20,11,9,41,1,2018-2019,3,0.55
Hong Kong Cricket Club 2,20,11,9,69,4,2018-2019,3,0.55
Hong Kong Cricket Club 3,16,10,6,57,5,2018-2019,4,0.625
Hong Kong Cricket Club 4,20,14,6,77,8,2018-2019,4,0.7
Hong Kong Cricket Club L1,16,6,10,24,L1,2018-2019,4,0.375
Hong Kong Cricket Club L2A,16,11,5,51,L2,2018-2019,2,0.6875
Hong Kong Cricket Club L2B,16,7,9,32,L2,2018-2019,4,0.4375
Hong Kong Cricket Club Rockettes,20,15,5,68,L3,2018-2019,2,0.75
Hong Kong Cricket Club M1A,20,14,6,65,M1,2018-2019,1,0.7
Hong Kong Cricket Club M1B,20,13,7,58,M1,2018-2019,2,0.65
Hong Kong Cricket Club M3,18,10,8,58,M3,2018-2019,3,0.555555556
Hong Kong Cricket Club Young Masters,16,12,4,65,M4,2018-2019,3,0.75
Hong Kong Cricket Club 10,9,9,0,40,10,2019-2020,1,1
Hong Kong Cricket Club 12,10,7,3,42,12A,2019-2020,2,0.7
HKCC TUESDAY NIGHT ROCKERS,10,9,1,45,15,2019-2020,1,0.9
Hong Kong Cricket Club 17,11,9,2,49,17A,2019-2020,2,0.818181818
Hong Kong Cricket Club 19,7,5,2,28,19B,2019-2020,3,0.714285714
Hong Kong Cricket Club 2,7,6,1,26,2,2019-2020,2,0.857142857
Hong Kong Cricket Club 4,9,4,5,25,4,2019-2020,5,0.444444444
Hong Kong Cricket Club 6,10,7,3,37,6,2019-2020,4,0.7
Hong Kong Cricket Club 8,9,6,3,33,8,2019-2020,2,0.666666667
Hong Kong Cricket Club L1,9,1,8,7,L1,2019-2020,5,0.111111111
Hong Kong Cricket Club L2A,9,9,0,35,L2,2019-2020,1,1
Hong Kong Cricket Club L2B,7,1,5,9,L2,2019-2020,6,0.142857143
Hong Kong Cricket Club L2C,7,1,6,8,L2,2019-2020,7,0.142857143
Hong Kong Cricket Club Rockettes,11,10,1,39,L3,2019-2020,1,0.909090909
Hong Kong Cricket Club L3,11,1,10,9,L3,2019-2020,6,0.090909091
Hong Kong Cricket Club M1A,10,6,4,29,M1,2019-2020,3,0.6
Hong Kong Cricket Club M1B,11,2,9,19,M1,2019-2020,6,0.181818182
Hong Kong Cricket Club M3,11,7,4,35,M3,2019-2020,6,0.636363636
Hong Kong Cricket Club M4,11,7,4,41,M4,2019-2020,4,0.636363636
Hong Kong Cricket Club 4,11,8,3,41,10,2021-2022,2,0.727272727
Hong Kong Cricket Club 5,10,5,5,26,11,2021-2022,3,0.5
Hong Kong Cricket Club 6,9,2,7,15,12A,2021-2022,8,0.222222222
Hong Kong Cricket Club Rockers,10,2,8,17,15A,2021-2022,7,0.2
Hong Kong Cricket Club 8,6,2,4,16,19A,2021-2022,4,0.333333333
Hong Kong Cricket Club 1,9,1,8,16,2,2021-2022,5,0.111111111
Hong Kong Cricket Club 2,11,8,3,42,6,2021-2022,2,0.727272727
Hong Kong Cricket Club 3,12,10,2,55,8,2021-2022,2,0.833333333
Hong Kong Cricket Club L1,11,6,5,22,L1,2021-2022,3,0.545454545
Hong Kong Cricket Club L2B,9,5,4,19,L2,2021-2022,2,0.555555556
Hong Kong Cricket Club L2A,9,4,5,17,L2,2021-2022,3,0.444444444
Hong Kong Cricket Club Rockettes,11,10,1,48,L3,2021-2022,1,0.909090909
Hong Kong Cricket Club M1B,11,4,7,19,M1,2021-2022,4,0.363636364
Hong Kong Cricket Club M1A,11,2,9,16,M1,2021-2022,5,0.181818182
Hong Kong Cricket Club M3,11,7,4,40,M3,2021-2022,3,0.636363636
Hong Kong Cricket Club M4,9,4,5,29,M4,2021-2022,6,0.444444444
Hong Kong Cricket Club 4,16,4,12,26,11,2022-2023,4,0.25
Hong Kong Cricket Club 5,18,10,8,60,12A,2022-2023,4,0.555555556
Hong Kong Cricket Club 6,18,10,8,59,15B,2022-2023,4,0.555555556
Hong Kong Cricket Club 7,18,12,6,71,19,2022-2023,3,0.666666667
Hong Kong Cricket Club 1,16,7,9,47,2,2022-2023,3,0.4375
Hong Kong Cricket Club 2,18,5,13,42,5,2022-2023,7,0.277777778
Hong Kong Cricket Club 3,18,8,10,47,8,2022-2023,8,0.444444444
Hong Kong Cricket Club L1,20,5,15,19,L1,2022-2023,6,0.25
Hong Kong Cricket Club L2A,16,12,4,46,L2,2022-2023,2,0.75
Hong Kong Cricket Club L2B,16,4,12,20,L2,2022-2023,4,0.25
Hong Kong Cricket Club Rockettes,20,17,3,79,L3,2022-2023,1,0.85
Hong Kong Cricket Club M1B,16,12,4,54,M1,2022-2023,2,0.75
Hong Kong Cricket Club M1A,16,6,10,30,M1,2022-2023,4,0.375
Hong Kong Cricket Club M3,21,15,6,73,M3,2022-2023,3,0.714285714
Hong Kong Cricket Club M4,18,8,10,49,M4,2022-2023,5,0.444444444
Hong Kong Cricket Club 5,18,3,15,30,11,2023-2024,7,0.166666667
Hong Kong Cricket Club 6,21,19,2,98,12A,2023-2024,1,0.904761905
Hong Kong Cricket Club Rockers,22,15,7,81,15,2023-2024,4,0.681818182
Hong Kong Cricket Club 8,22,8,14,53,18,2023-2024,8,0.363636364
Hong Kong Cricket Club 1,8,4,4,15,1,2023-2024,3,0.5
Hong Kong Cricket Club 2,16,2,14,24,2,2023-2024,5,0.125
Hong Kong Cricket Club 3,16,11,5,59,8,2023-2024,3,0.6875
Hong Kong Cricket Club 4,16,5,11,37,8,2023-2024,8,0.3125
Hong Kong Cricket Club L1,10,3,7,12,L1,2023-2024,5,0.3
Hong Kong Cricket Club L2A,20,11,9,54,L2,2023-2024,3,0.55
Hong Kong Cricket Club L2B,20,4,16,18,L2,2023-2024,6,0.2
Hong Kong Cricket Club Rockettes,18,11,7,55,L3,2023-2024,4,0.611111111
Hong Kong Cricket Club M1B,16,3,13,22,M1,2023-2024,4,0.1875
Hong Kong Cricket Club M1A,16,2,14,22,M1,2023-2024,5,0.125
Hong Kong Cricket Club M2,16,8,8,53,M2,2023-2024,4,0.5
Hong Kong Cricket Club M3,16,10,6,53,M3,2023-2024,4,0.625
Hong Kong Cricket Club 1,10,8,2,26,Premier Main,2024-2025,2,0.8
Hong Kong Cricket Club 2,16,4,12,22,2,2024-2025,4,0.25
Hong Kong Cricket Club 3,21,4,17,35,4,2024-2025,7,0.19047619
Hong Kong Cricket Club 4,18,10,8,59,6,2024-2025,4,0.555555556
Hong Kong Cricket Club 5,18,10,8,58,7A,2024-2025,3,0.555555556
Hong Kong Cricket Club 6,18,11,7,58,7B,2024-2025,3,0.611111111
HKCC Tuesday Night Rockers,20,9,11,56,11,2024-2025,8,0.45
Hong Kong Cricket Club 8,18,8,10,53,15A,2024-2025,4,0.444444444
Hong Kong Cricket Club M1B,16,8,8,32,Premier Masters,2024-2025,3,0.5
Hong Kong Cricket Club M1A,16,4,12,21,Premier Masters,2024-2025,4,0.25
Hong Kong Cricket Club M2B,20,9,11,48,M2,2024-2025,3,0.45
Hong Kong Cricket Club M2A,20,10,10,47,M2,2024-2025,4,0.5
Hong Kong Cricket Club M3,21,6,15,34,M3,2024-2025,7,0.285714286
Hong Kong Cricket Club L1,8,0,8,4,Premier Ladies,2024-2025,5,0
Hong Kong Cricket Club L2,20,3,17,18,L2,2024-2025,6,0.15
Hong Kong Cricket Club Rockettes,20,11,9,46,L3,2024-2025,3,0.55
Hong Kong Cricket Club L4,18,16,2,56,L4,2024-2025,2,0.888888889
