Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
North District Sports Association 1,40.0,100.0,100.0,66.66666666666666,66.66666666666666,74.66666666666666,20
Winter Warriors,83.33333333333334,83.33333333333334,80.0,40.0,75.0,72.33333333333334,26
Sea Bear,50.0,75.0,75.0,100.0,50.0,70.0,20
South China Athletic Association,80.0,60.0,100.0,40.0,60.0,68.0,25
Alpha CUHK,80.0,80.0,50.0,75.0,50.0,67.0,20
Hong Kong Football Club 12A,0.0,57.14285714285714,42.857142857142854,83.33333333333334,83.33333333333334,53.333333333333336,33
ZOMA,40.0,40.0,33.33333333333333,0.0,66.66666666666666,36.0,19
Hong Kong Racketlon Assoication 2,60.0,0.0,80.0,0.0,40.0,36.0,25
Hong Kong Football Club 12B,20.0,20.0,40.0,25.0,50.0,31.0,23
Star River 2,28.57142857142857,57.14285714285714,0.0,40.0,25.0,30.142857142857146,28
CSD Squash Team,66.66666666666666,16.666666666666664,25.0,33.33333333333333,0.0,28.333333333333325,21
Latecomers,80.0,0.0,0.0,0.0,0.0,16.0,22
