Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
i-Mask Advance Squash Club 5,v,Sea Bear,Cornwall Street Squash Centre,19:00:00,,10,06/01/2026
ZOMA,v,[BYE],,,,10,06/01/2026
GMDBB,v,i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,19:00:00,,11,13/01/2026
South China Athletic Association,v,The Zero Squash Club D11,HK Squash Centre,19:00:00,,11,13/01/2026
7NT,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00:00,,11,13/01/2026
Alpha CUHK,v,Electrify Squash Div 11,Cornwall Street Squash Centre,19:00:00,,11,13/01/2026
ZOMA,v,Invader Squash,Cornwall Street Squash Centre,19:00:00,,11,13/01/2026
Sea Bear,v,[BYE],,,,11,13/01/2026
ZOMA,v,Electrify Squash Div 11,Cornwall Street Squash Centre,19:00:00,,12,20/01/2026
Alpha CUHK,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00:00,,12,20/01/2026
7NT,v,The Zero Squash Club D11,Cornwall Street Squash Centre,19:00:00,,12,20/01/2026
South China Athletic Association,v,i-Mask Advance Squash Club 5,HK Squash Centre,19:00:00,,12,20/01/2026
GMDBB,v,Sea Bear,Cornwall Street Squash Centre,19:00:00,,12,20/01/2026
Invader Squash,v,[BYE],,,,12,20/01/2026
Sea Bear,v,South China Athletic Association,Cornwall Street Squash Centre,19:00:00,,13,27/01/2026
i-Mask Advance Squash Club 5,v,7NT,Cornwall Street Squash Centre,19:00:00,,13,27/01/2026
The Zero Squash Club D11,v,Alpha CUHK,Cornwall Street Squash Centre,19:00:00,,13,27/01/2026
Tuen Mun Squash Club,v,ZOMA,Cornwall Street Squash Centre,19:00:00,,13,27/01/2026
Electrify Squash Div 11,v,Invader Squash,HK Squash Centre,19:00:00,,13,27/01/2026
GMDBB,v,[BYE],,,,13,27/01/2026
Invader Squash,v,Tuen Mun Squash Club,Harbour Road Sports Centre,19:00:00,,14,03/02/2026
ZOMA,v,The Zero Squash Club D11,Cornwall Street Squash Centre,19:00:00,,14,03/02/2026
Alpha CUHK,v,i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,19:00:00,,14,03/02/2026
7NT,v,Sea Bear,Cornwall Street Squash Centre,19:00:00,,14,03/02/2026
South China Athletic Association,v,GMDBB,HK Squash Centre,19:00:00,,14,03/02/2026
Electrify Squash Div 11,v,[BYE],,,,14,03/02/2026
GMDBB,v,7NT,Cornwall Street Squash Centre,19:00:00,,15,10/02/2026
Sea Bear,v,Alpha CUHK,Cornwall Street Squash Centre,19:00:00,,15,10/02/2026
i-Mask Advance Squash Club 5,v,ZOMA,Cornwall Street Squash Centre,19:00:00,,15,10/02/2026
The Zero Squash Club D11,v,Invader Squash,Cornwall Street Squash Centre,19:00:00,,15,10/02/2026
Tuen Mun Squash Club,v,Electrify Squash Div 11,Cornwall Street Squash Centre,19:00:00,,15,10/02/2026
South China Athletic Association,v,[BYE],,,,15,10/02/2026
Electrify Squash Div 11,v,The Zero Squash Club D11,HK Squash Centre,19:00:00,,16,03/03/2026
Invader Squash,v,i-Mask Advance Squash Club 5,Harbour Road Sports Centre,19:00:00,,16,03/03/2026
ZOMA,v,Sea Bear,Cornwall Street Squash Centre,19:00:00,,16,03/03/2026
Alpha CUHK,v,GMDBB,Cornwall Street Squash Centre,19:00:00,,16,03/03/2026
7NT,v,South China Athletic Association,Cornwall Street Squash Centre,19:00:00,,16,03/03/2026
Tuen Mun Squash Club,v,[BYE],,,,16,03/03/2026
South China Athletic Association,v,Alpha CUHK,HK Squash Centre,19:00:00,,17,10/03/2026
GMDBB,v,ZOMA,Cornwall Street Squash Centre,19:00:00,,17,10/03/2026
Sea Bear,v,Invader Squash,Cornwall Street Squash Centre,19:00:00,,17,10/03/2026
i-Mask Advance Squash Club 5,v,Electrify Squash Div 11,Cornwall Street Squash Centre,19:00:00,,17,10/03/2026
The Zero Squash Club D11,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00:00,,17,10/03/2026
7NT,v,[BYE],,,,17,10/03/2026
Tuen Mun Squash Club,v,i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,19:00:00,,18,17/03/2026
Electrify Squash Div 11,v,Sea Bear,HK Squash Centre,19:00:00,,18,17/03/2026
Invader Squash,v,GMDBB,Harbour Road Sports Centre,19:00:00,,18,17/03/2026
ZOMA,v,South China Athletic Association,Cornwall Street Squash Centre,19:00:00,,18,17/03/2026
Alpha CUHK,v,7NT,Cornwall Street Squash Centre,19:00:00,,18,17/03/2026
The Zero Squash Club D11,v,[BYE],,,,18,17/03/2026
7NT,v,ZOMA,Cornwall Street Squash Centre,19:00:00,,19,24/03/2026
South China Athletic Association,v,Invader Squash,HK Squash Centre,19:00:00,,19,24/03/2026
GMDBB,v,Electrify Squash Div 11,Cornwall Street Squash Centre,19:00:00,,19,24/03/2026
Sea Bear,v,Tuen Mun Squash Club,Cornwall Street Squash Centre,19:00:00,,19,24/03/2026
i-Mask Advance Squash Club 5,v,The Zero Squash Club D11,Cornwall Street Squash Centre,19:00:00,,19,24/03/2026
Alpha CUHK,v,[BYE],,,,19,24/03/2026
The Zero Squash Club D11,v,Sea Bear,Cornwall Street Squash Centre,19:00:00,,20,14/04/2026
Tuen Mun Squash Club,v,GMDBB,Cornwall Street Squash Centre,19:00:00,,20,14/04/2026
Electrify Squash Div 11,v,South China Athletic Association,HK Squash Centre,19:00:00,,20,14/04/2026
Invader Squash,v,7NT,Harbour Road Sports Centre,19:00:00,,20,14/04/2026
ZOMA,v,Alpha CUHK,Cornwall Street Squash Centre,19:00:00,,20,14/04/2026
i-Mask Advance Squash Club 5,v,[BYE],,,,20,14/04/2026
Alpha CUHK,v,Invader Squash,Cornwall Street Squash Centre,19:00:00,,21,21/04/2026
7NT,v,Electrify Squash Div 11,Cornwall Street Squash Centre,19:00:00,,21,21/04/2026
South China Athletic Association,v,Tuen Mun Squash Club,HK Squash Centre,19:00:00,,21,21/04/2026
GMDBB,v,The Zero Squash Club D11,Cornwall Street Squash Centre,19:00:00,,21,21/04/2026
Sea Bear,v,i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,19:00:00,,21,21/04/2026
ZOMA,v,[BYE],,,,21,21/04/2026
i-Mask Advance Squash Club 5,v,GMDBB,Cornwall Street Squash Centre,19:00:00,,22,28/04/2026
The Zero Squash Club D11,v,South China Athletic Association,Cornwall Street Squash Centre,19:00:00,,22,28/04/2026
Tuen Mun Squash Club,v,7NT,Cornwall Street Squash Centre,19:00:00,,22,28/04/2026
Electrify Squash Div 11,v,Alpha CUHK,HK Squash Centre,19:00:00,,22,28/04/2026
Invader Squash,v,ZOMA,Harbour Road Sports Centre,19:00:00,,22,28/04/2026
Sea Bear,v,[BYE],,,,22,28/04/2026
