Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Hong Kong Cricket Club D7A,3,2,1,10,8,7,0,1,0,0
Hong Kong Football Club 7A,3,2,1,10,8,7,0,0,0,0
Physical Chess 2,2,2,0,9,7,3,0,1,0,0
i-Mask Advance Squash Club 1,3,1,2,9,8,7,0,0,0,0
Xavier,3,1,2,9,8,7,3,0,0,0
Hong Kong Football Club 7B,2,1,1,7,6,4,0,0,0,0
Social Squash Team,2,1,1,6,5,5,0,0,0,0
UST,2,1,1,6,5,5,1,0,0,0
Hong Kong Cricket Club D7B,2,1,1,5,4,6,0,0,0,0
Thunder 1,2,1,1,5,4,6,0,1,0,0
Kinetic 1,2,0,2,2,2,8,0,1,0,0
