Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Royal Hong Kong Yacht Club Div 12,3,3,0,17,14,1,0,0,0,0
Star River 1,2,2,0,10,8,2,0,0,0,0
Hong Kong Football Club 12B,2,2,0,9,7,3,0,0,0,0
Winter Warriors,2,2,0,8,6,4,0,1,0,0
Physical Chess 4,2,1,1,7,6,4,0,0,0,0
Global Squash 2,3,1,2,6,5,10,0,0,0,0
Latecomers,2,1,1,6,5,5,1,3,0,0
CSD Squash Team,2,0,2,4,4,6,3,0,0,0
Hong Kong Football Club 12A,2,0,2,2,2,8,0,0,0,0
SKCSC Div 12,3,0,3,2,2,13,0,0,0,0
Sha Tin 5,1,0,1,1,1,4,0,0,0,0
