Home Team,vs,Away Team,Venue,Time,Result,Match Week,Date
JESSICA L4,v,JESSICA Smashin' Mochi,HK Squash Centre,19:00,"3-0(3-0,3-1,3-0)",1,04/10/2024
Hong Kong Football Club JSA,v,Hong Kong Football Club L4,Hong Kong Football Club,19:00,"2-1(2-3,3-0,3-0)",1,04/10/2024
Electrify Squash Ladies,v,Hong Kong Cricket Club L4,HK Squash Centre,19:00,"1-2(0-3,2-3,3-2)",1,04/10/2024
i-Mask Advance Squash Club L4,v,[BYE],,,,1,04/10/2024
i-Mask Advance Squash Club L4,v,Hong Kong Football Club JSA,Cornwall Street Squash Centre,19:00,"0-3(CR,CR,CR)",2,18/10/2024
Hong Kong Football Club L4,v,JESSICA L4,Hong Kong Football Club,19:00,"0-3(0-3,0-3,0-3)",2,18/10/2024
JESSICA Smashin' Mochi,v,Electrify Squash Ladies,HK Squash Centre,19:00,"3-0(3-0,3-0,CR)",2,18/10/2024
Hong Kong Cricket Club L4,v,[BYE],,,,2,18/10/2024
Hong Kong Cricket Club L4,v,JESSICA Smashin' Mochi,Hong Kong Cricket Club,19:00,"3-0(3-0,3-0,3-0)",3,25/10/2024
Electrify Squash Ladies,v,Hong Kong Football Club L4,HK Squash Centre,19:00,"0-3(2-3,0-3,0-3)",3,25/10/2024
JESSICA L4,v,i-Mask Advance Squash Club L4,HK Squash Centre,19:00,,3,25/10/2024
Hong Kong Football Club JSA,v,[BYE],,,,3,25/10/2024
JESSICA L4,v,Hong Kong Football Club JSA,Harbour Road Sports Centre,19:00,,4,01/11/2024
Electrify Squash Ladies,v,i-Mask Advance Squash Club L4,Harbour Road Sports Centre,19:00,,4,01/11/2024
Hong Kong Cricket Club L4,v,Hong Kong Football Club L4,Hong Kong Cricket Club,19:00,,4,01/11/2024
JESSICA Smashin' Mochi,v,[BYE],,,,4,01/11/2024
JESSICA Smashin' Mochi,v,Hong Kong Football Club L4,HK Squash Centre,19:00,,5,08/11/2024
Hong Kong Cricket Club L4,v,i-Mask Advance Squash Club L4,Hong Kong Cricket Club,19:00,,5,08/11/2024
Hong Kong Football Club JSA,v,Electrify Squash Ladies,Hong Kong Football Club,19:00,,5,08/11/2024
JESSICA L4,v,[BYE],,,,5,08/11/2024
JESSICA L4,v,Electrify Squash Ladies,HK Squash Centre,19:00,,6,15/11/2024
Hong Kong Football Club JSA,v,Hong Kong Cricket Club L4,Hong Kong Football Club,19:00,,6,15/11/2024
