Home Team,Away Team,Venue,Match Week,Date
NEXUS 1,TNGX,Cornwall Street Squash Centre,4,2024-10-29
TNGX,Sha Tin 1,Cornwall Street Squash Centre,5,2024-11-05
Happy Squash 1,TNGX,Cornwall Street Squash Centre,6,2024-11-12
NEXUS 1,Sha Tin 1,Cornwall Street Squash Centre,9,2024-12-10
NEXUS 1,Happy Squash 1,Cornwall Street Squash Centre,10,2024-12-17
Kowloon Cricket Club 3B,Kowloon Cricket Club 3A,Kowloon Cricket Club,10,2024-12-17
Happy Squash 1,Sha Tin 1,Cornwall Street Squash Centre,11,2025-01-07
TNGX,NEXUS 1,Cornwall Street Squash Centre,13,2025-01-21
Sha Tin 1,TNGX,Cornwall Street Squash Centre,14,2025-02-11
TNGX,Happy Squash 1,Cornwall Street Squash Centre,15,2025-02-18
Sha Tin 1,NEXUS 1,Cornwall Street Squash Centre,18,2025-03-11
