Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Hong Kong Football Club 6B,Hong Kong Football Club,2.0,0.0,2.0
Hong Kong Football Club 6A,Hong Kong Football Club,1.5,0.0,1.5
Hong Kong Football Club 6C,Hong Kong Football Club,1.0,0.0,1.0
Kowloon Cricket Club 6A,Kowloon Cricket Club,5.0,4.0,1.0
Kowloon Cricket Club 6B,Kowloon Cricket Club,5.0,4.0,1.0
United Services Recreation Club 2,United Services Recreation Club,4.5,3.5,1.0
Social Squash Team,HK Squash Centre,1.0,1.5,-0.5
Friend Club 3,Cornwall Street Squash Centre,1.0,1.6666666666666667,-0.6666666666666667
Global Squash 1,HK Squash Centre,1.0,2.0,-1.0
Hong Kong Cricket Club 4,Hong Kong Cricket Club,3.0,4.0,-1.0
