Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
North District Sports Association 1,13,12,1,60,48,17,0,10,0,0
Alpha CUHK,13,10,3,58,48,17,0,3,0,0
Winter Warriors,13,9,4,55,46,19,4,2,0,1
South China Athletic Association,12,10,2,52,42,18,0,5,0,0
Hong Kong Football Club 12A,13,10,3,49,39,26,0,4,0,0
Sea Bear,13,7,6,46,39,26,0,3,0,0
ZOMA,13,4,9,31,27,38,0,7,0,0
Star River 2,12,4,8,25,21,39,0,6,0,0
Hong Kong Racketlon Assoication 2,12,4,8,25,21,39,6,1,0,1
Hong Kong Football Club 12B,13,3,10,22,20,45,2,4,1,0
CSD Squash Team,13,2,11,19,18,47,21,0,1,0
Latecomers,12,1,11,12,11,49,13,1,0,0
