Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
TNG 1,20,19,1,97,80,20,0,13,0,0
TNG 2,20,17,3,82,68,32,5,5,1,0
Royal Hong Kong Yacht Club Div 13,20,15,5,82,67,33,0,9,0,0
Greenfield,21,13,8,78,65,40,0,11,0,0
North District Sports Association 2,21,12,9,67,55,50,0,6,0,0
Arctic Circle,21,11,10,67,56,49,5,4,0,2
Squashathon PLZ,20,9,11,62,53,47,0,6,0,0
Bravo D13,20,6,14,44,38,61,11,7,0,0
M&M Squash,20,6,14,37,33,65,7,1,1,0
Vitality Squash 3,21,7,14,36,31,73,23,2,2,1
Star River 3,20,4,16,36,32,68,0,3,0,1
Physical Chess 4,20,3,17,31,29,69,20,4,0,0
