Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Kowloon Cricket Club 6B,13,13,0,64,51,14
United Services Recreation Club 2,13,9,4,50,41,24
Hong Kong Cricket Club 4,13,8,5,44,36,29
Kowloon Cricket Club 6A,13,7,6,44,37,28
Hong Kong Football Club 6B,13,7,6,41,34,31
Hong Kong Football Club 6C,13,6,7,39,33,32
Hong Kong Football Club 6A,13,6,7,36,30,35
Global Squash 1,13,6,7,33,27,38
Friend Club 3,13,2,11,23,21,44
Social Squash Team,13,1,12,16,15,50
