Team,Most Games,Most Wins,Highest Win Percentage
Alpha CUHK,Lin Chun Wah (15),Lin Chun Wah (14),Lin Chun Wah (93.3%)
CSD Squash Team,Chung Ivan Sze Chit (13),Lau Douglas Kin Chung (8),Ho Man Lok (80.0%)
Hong Kong Football Club 12A,"Chew Alexander, Ng Simon Chi Ming (12)",Ng Simon Chi Ming (9),Fong Yi Son (100.0%)
Hong Kong Football Club 12B,Wei Miles Abraham (11),"Wei Miles Abraham, Lam Wai Ming, Putt Alasdair (5)",Putt Alasdair (71.4%)
Hong Kong Racketlon Assoication 2,"Wong Shing Yin, Chiu Kwan Kin Douglas (8)","Chang Sean Pey, Tse Chun Kit (4)",Chang Sean Pey (66.7%)
Latecomers,Ng Ngo Ching Matthew (14),Ng Ngo Ching Matthew (11),Ng Ngo Ching Matthew (78.6%)
North District Sports Association 1,Lo Tin Lai (15),Lo Tin Lai (15),Lo Tin Lai (100.0%)
Sea Bear,Tiu Man Kit (10),Wan Wan Lung (9),Wan Wan Lung (100.0%)
South China Athletic Association,Leung Kam Yau Hardy (12),Leung Kam Yau Hardy (9),Leung Yip Kan (100.0%)
Star River 2,"Chan Chi Wah, Ho Chin Pik (13)",Chan Chi Wah (8),Chan Chi Wah (61.5%)
Winter Warriors,Thambidrai Sunil James (13),Chau Gordon (10),Chada Neil (88.9%)
ZOMA,Tsang Timmy Kwok Tim (14),Tsang Timmy Kwok Tim (8),Tsang Timmy Kwok Tim (57.1%)
