Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc
TNG 2,50.0,0.0,0.0,-33.33333333333333,100.0,23.33333333333333
Physical Chess 4,33.33333333333333,-50.0,-25.0,50.0,50.0,11.666666666666664
Squashathon PLZ,80.0,-33.33333333333334,-26.66666666666667,8.333333333333329,8.333333333333329,7.333333333333329
TNG 1,0.0,-100.0,66.66666666666667,33.33333333333334,33.33333333333334,6.666666666666671
North District Sports Association 2,8.333333333333329,0.0,-16.66666666666667,8.333333333333343,25.0,5.0
Arctic Circle,0.0,-25.0,16.66666666666667,16.66666666666667,8.333333333333343,3.33333333333335
Royal Hong Kong Yacht Club Div 13,-7.142857142857139,-7.142857142857139,-14.285714285714292,28.571428571428577,11.904761904761912,2.3809523809523867
Star River 3,60.0,20.0,-80.0,0.0,0.0,0.0
M&M Squash,-6.666666666666671,-20.0,-3.3333333333333357,10.0,13.333333333333329,-1.3333333333333357
Bravo D13,0.0,-10.0,-50.0,0.0,33.33333333333333,-5.333333333333336
Vitality Squash 3,8.57142857142857,-5.714285714285715,-10.0,-46.66666666666667,0.0,-10.76190476190476
Greenfield,-66.66666666666666,-33.33333333333334,-13.333333333333343,-8.333333333333343,0.0,-24.33333333333332
