Team,Rubber 1 Win %,Rubber 2 Win %,Rubber 3 Win %,Rubber 4 Win %,Rubber 5 Win %,avg_win_perc,Total Rubbers
TNG 1,88.88888888888889,83.33333333333334,61.111111111111114,70.58823529411765,81.25,77.0343137254902,87
TNG 2,70.0,85.0,77.77777777777779,66.66666666666666,46.15384615384615,69.11965811965811,89
Royal Hong Kong Yacht Club Div 13,52.63157894736842,57.89473684210527,61.111111111111114,66.66666666666666,82.35294117647058,64.1314069487444,91
Greenfield,28.57142857142857,65.0,73.68421052631578,61.111111111111114,62.5,58.173350041771094,94
Arctic Circle,75.0,45.0,42.10526315789473,38.88888888888889,64.70588235294117,53.14000687994496,94
North District Sports Association 2,28.57142857142857,52.38095238095239,38.095238095238095,70.0,62.5,50.30952380952381,99
Squashathon PLZ,55.00000000000001,65.0,55.00000000000001,44.44444444444444,25.0,48.88888888888889,94
Vitality Squash 3,21.052631578947366,16.666666666666664,50.0,50.0,71.42857142857143,41.82957393483709,76
M&M Squash,45.0,26.31578947368421,27.77777777777778,41.17647058823529,40.0,36.05400756793946,89
Bravo D13,89.47368421052632,42.10526315789473,17.647058823529413,12.5,10.0,34.34520123839009,81
Physical Chess 4,15.789473684210526,33.33333333333333,58.82352941176471,36.36363636363637,22.22222222222222,33.30643900303343,74
Star River 3,35.0,25.0,36.84210526315789,31.57894736842105,16.666666666666664,29.017543859649116,96
