Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 6B,11,11,0,54,43,12,0,0,0,0
United Services Recreation Club 2,10,8,2,43,35,15,0,0,0,0
Hong Kong Cricket Club 4,11,7,4,37,30,25,0,0,0,0
Kowloon Cricket Club 6A,11,5,6,34,29,26,0,0,0,0
Hong Kong Football Club 6B,11,6,5,33,27,28,0,0,0,0
Hong Kong Football Club 6C,11,4,7,30,26,29,0,0,0,0
Global Squash 1,11,5,6,28,23,32,0,0,0,0
Hong Kong Football Club 6A,10,5,5,28,23,27,0,0,0,0
Friend Club 3,11,2,9,23,21,34,0,0,0,0
Social Squash Team,11,1,10,14,13,42,0,0,0,0
