Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Sha Tin 5,5,5,0,23,18,7,0,0,0,0
The Squash Club 3,5,3,2,18,15,10,0,0,0,0
BOSS,4,3,1,17,14,6,0,0,0,0
Kinetic 3,4,4,0,16,12,8,0,0,0,0
Star River 1,5,3,2,16,13,12,0,0,0,0
Global Squash 2,5,3,2,16,13,12,0,0,0,0
7NT,4,1,3,10,9,11,0,0,0,0
Invader Squash,4,1,3,8,7,13,0,0,0,0
i-Mask Advance Squash Club 4,4,0,4,8,8,12,0,0,0,0
Tuen Mun Squash Club,4,1,3,7,6,14,0,0,0,0
HKCC Tuesday Night Rockers,4,0,4,5,5,15,0,0,0,0
