Team,Most Games,Most Wins,Highest Win Percentage
8 Virtues + 1,Lam Audrey Lok Yi (19),Liu Yang (13),Liu Yang (92.9%)
Electrify Squash Div 19,Bai Bowen (19),Bai Bowen (16),Ho Kwan Ho (87.5%)
Hong Kong Football Club 19,Pun William (19),Le Angelina Elizabeth (14),Le Angelina Elizabeth (93.3%)
Hong Kong International School D19,Wei Miles Abraham (19),Wei Mia Lynn (16),Wei Mia Lynn (94.1%)
RELAY 2,Cheng Tsz Long (20),Tse Ching Lam (8),Cheng Nic (46.2%)
Sha Tin Squash Rackets Club 8,Pang Man Hei (16),Pang Man Hei (10),Pang Man Hei (62.5%)
SocGen Squash,Chiba Fouad (20),Rambaud- Chanoz Nicolas (18),Rambaud- Chanoz Nicolas (94.7%)
Squashathon 2,Chung Tsam Yee (20),Chung Tsam Yee (14),Chong Siu Fung (85.7%)
TNG 3,Chan Hong Ting (14),Chan Hong Ting (12),"Bai Yuet, Kwok To Yan (90.0%)"
The 8 Virtues,"Lin Zixuan Emma, Lin Zihan Denis (15)","Zhang Yong Yuan, Zhang Jolene Yong Yin (8)",Chan Yeuk Hei Hebe (70.0%)
United Services Recreation Club 4,Shah Anaisha Malay (18),Morris Brandon Quinn (8),Morris Brandon Quinn (53.3%)
X-Alpha 6,Pan Ka Hei (15),Pan Ka Hei (13),Pan Ka Hei (86.7%)
