Team Name,Home,Average Home Score,Average Away Score,home_away_diff
Electrify Squash Div 13,HK Squash Centre,4.6,0.0,4.6
Energy Squash Club 1,Kwun Chung Sports Centre,3.2,0.0,3.2
Yuen Long District Sports Association Limited,Yuen Long Jockey Club Squash Courts,4.333333333333333,1.6,2.733333333333333
i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,4.5,1.8,2.7
X-Alpha 5,Tai Po Sports Ground,3.8,1.6666666666666667,2.133333333333333
Sha Tin 6,Cornwall Street Squash Centre,5.0,3.25,1.75
Fusion Squash Club 2,HK Squash Centre,3.2,1.5,1.7000000000000002
Energy Squash Club 2,HK Squash Centre,2.6666666666666665,1.0,1.6666666666666665
HKIS Div 13,HK Squash Centre,2.25,0.6666666666666666,1.5833333333333335
SocGen Squash,HK Squash Centre,3.5,2.5,1.0
Kinetic 4,Pei Ho Street Sports Centre,2.3333333333333335,1.4,0.9333333333333336
Happy Squash 4,Wai Tsuen Sports Centre,2.0,1.1428571428571428,0.8571428571428572
