Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Kowloon Cricket Club 4,9,8,1,43,35,10,2,1,0,0
YLJR,10,8,2,41,33,17,1,0,0,0
TNGX,10,5,5,36,31,19,0,2,0,0
Hong Kong Football Club 4B,10,6,4,32,26,24,1,0,0,0
X-Alpha 2,9,6,3,32,26,19,1,1,0,0
Sha Tin 1,9,5,4,28,23,22,0,0,0,0
Hong Kong Football Club 4A,10,3,7,23,20,30,1,0,0,0
The Squash Club 1,9,2,7,18,16,29,0,1,0,0
Hong Kong Cricket Club D4A,9,2,7,15,13,32,1,2,0,0
Hong Kong Cricket Club D4B,9,2,7,14,12,33,0,0,0,0
