Team,Most Games,Most Wins,Highest Win Percentage
Arctic Circle,Wong Wai Ling Helen (13),Wu Chi Wai (11),Wu Chi Wai (91.7%)
Bravo D13,Chow Pui Sing (17),Chow Pui Sing (16),Chow Pui Sing (94.1%)
Greenfield,Chan Kwok Wa (15),Chan Kwok Wa (14),Chan Kwok Wa (93.3%)
M&M Squash,Yim Yu Tak (13),Wong Marcus (9),Wong Marcus (75.0%)
North District Sports Association 2,Leung Yat Hei (15),Dogra Vijendra Singh Balbirsing (10),Lam Cheuk Yin (85.7%)
Physical Chess 4,Yuen Lok Hang (15),Yuen Lok Hang (12),Yuen Lok Hang (80.0%)
Royal Hong Kong Yacht Club Div 13,"Clayton Iain Michael, Zirah Pierre-Alexis Joachim (14)",Zirah Pierre-Alexis Joachim (10),Leung Keith Koon Chung (85.7%)
Squashathon PLZ,Leung Ka Luen Wilson (14),"Leung Ka Luen Wilson, Leung Hok Sum (9)",Loo Long Hui (83.3%)
Star River 3,Wong Bao Kwong Chi (15),Wai Veronica Chi Man (9),Wai Veronica Chi Man (75.0%)
TNG 1,"Tam Tsz Lung, Kwok To Yan (11)",Kwok To Yan (10),Luk Hoi Fai (100.0%)
TNG 2,Chan Shun Ting (13),Chan Hong Ting (12),"Koon Long Ying, Chan Hong Ting (100.0%)"
Vitality Squash 3,Luk Argen (14),Chen Marshall Youpeng (9),Sun Jacob Jia-Wei (80.0%)
