Team Name,Home,Average Home Score,Average Away Score,home_away_diff
The Zero Squash Club D11,Cornwall Street Squash Centre,4.5,2.3333333333333335,2.1666666666666665
7NT,Cornwall Street Squash Centre,4.0,3.0,1.0
GMDBB,Cornwall Street Squash Centre,3.5,2.5,1.0
Sea Bear,Cornwall Street Squash Centre,3.0,2.5,0.5
Tuen Mun Squash Club,Cornwall Street Squash Centre,2.0,1.5,0.5
South China Athletic Association,HK Squash Centre,2.142857142857143,1.8571428571428572,0.2857142857142856
Electrify Squash Div 11,HK Squash Centre,3.4285714285714284,3.4285714285714284,0.0
ZOMA,Cornwall Street Squash Centre,1.0,1.0,0.0
Invader Squash,Harbour Road Sports Centre,1.2857142857142858,1.5,-0.2142857142857142
i-Mask Advance Squash Club 5,Cornwall Street Squash Centre,3.3333333333333335,4.0,-0.6666666666666665
Alpha CUHK,Cornwall Street Squash Centre,2.0,4.0,-2.0
