Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won,Winner Rubber 1,Winner Rubber 2,Winner Rubber 3,Winner Rubber 4,Winner Rubber 5
Fusion Squash Club 3,Electrify Squash Div 15,HK Squash Centre,1,05/10/2024,2-3,"['0-3', '3-1', '0-3', '0-3', '3-0']",2,3,6,10,Electrify Squash Div 15,Fusion Squash Club 3,Electrify Squash Div 15,Electrify Squash Div 15,Fusion Squash Club 3
TNG 3,Squashathon MeGa,Cornwall Street Squash Centre,1,05/10/2024,4-1,"['1-3', '3-1', '3-0', '3-1', '3-1']",4,1,13,6,Squashathon MeGa,TNG 3,TNG 3,TNG 3,TNG 3
RELAY 2,Serve - Ivors,Sir Denys Roberts Squash Court,1,05/10/2024,4-1,"['0-3', '3-1', '3-1', '3-1', 'CR']",4,1,12,6,Serve - Ivors,RELAY 2,RELAY 2,RELAY 2,
i-Mask Advance Squash Club 6,Squash-On,Cornwall Street Squash Centre,1,05/10/2024,2-3,"['2-3', '0-3', '3-0', '0-3', '3-0']",2,3,8,9,Squash-On,Squash-On,i-Mask Advance Squash Club 6,Squash-On,i-Mask Advance Squash Club 6
Electrify Squash Div 15,Squash-On,HK Squash Centre,2,12/10/2024,5-0,"['3-2', '3-0', '3-0', '3-0', '3-0']",5,0,15,2,Electrify Squash Div 15,Electrify Squash Div 15,Electrify Squash Div 15,Electrify Squash Div 15,Electrify Squash Div 15
Serve - Ivors,i-Mask Advance Squash Club 6,HK Squash Centre,2,12/10/2024,3-2,"['3-0', '1-3', '3-0', '3-0', 'CR']",3,2,13,3,Serve - Ivors,i-Mask Advance Squash Club 6,Serve - Ivors,Serve - Ivors,
Squashathon MeGa,RELAY 2,HK Squash Centre,2,12/10/2024,4-1,"['3-0', '3-0', '3-0', '0-3', '3-1']",4,1,12,4,Squashathon MeGa,Squashathon MeGa,Squashathon MeGa,RELAY 2,Squashathon MeGa
Fusion Squash Club 3,TNG 3,HK Squash Centre,2,12/10/2024,4-1,"['3-0', '3-2', '2-3', '3-2', 'CR']",4,1,14,7,Fusion Squash Club 3,Fusion Squash Club 3,TNG 3,Fusion Squash Club 3,
TNG 3,Electrify Squash Div 15,Cornwall Street Squash Centre,3,19/10/2024,1-4,"['0-3', '1-3', '0-3', '0-3', '3-0']",1,4,4,12,Electrify Squash Div 15,Electrify Squash Div 15,Electrify Squash Div 15,Electrify Squash Div 15,TNG 3
RELAY 2,Fusion Squash Club 3,Sir Denys Roberts Squash Court,3,19/10/2024,5-0,"['3-0', '3-2', '3-0', '3-0', '3-1']",5,0,15,3,RELAY 2,RELAY 2,RELAY 2,RELAY 2,RELAY 2
i-Mask Advance Squash Club 6,Squashathon MeGa,Cornwall Street Squash Centre,3,19/10/2024,2-3,"['1-3', '0-3', '2-3', '3-0', '3-0']",2,3,9,9,Squashathon MeGa,Squashathon MeGa,Squashathon MeGa,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6
Squash-On,Serve - Ivors,HK Squash Centre,3,19/10/2024,3-2,"['0-3', '3-1', '0-3', '3-0', '3-0']",3,2,9,7,Serve - Ivors,Squash-On,Serve - Ivors,Squash-On,Squash-On
Electrify Squash Div 15,Serve - Ivors,HK Squash Centre,4,26/10/2024,4-1,"['3-0', '0-3', '3-0', '3-0', '3-2']",4,1,12,5,Electrify Squash Div 15,Serve - Ivors,Electrify Squash Div 15,Electrify Squash Div 15,Electrify Squash Div 15
Squashathon MeGa,Squash-On,HK Squash Centre,4,26/10/2024,0-5,"['0-3', '0-3', '1-3', 'CR', 'CR']",0,5,1,15,Squash-On,Squash-On,Squash-On,,
Fusion Squash Club 3,i-Mask Advance Squash Club 6,HK Squash Centre,4,26/10/2024,5-0,"['3-0', '3-1', '3-2', '3-2', '3-2']",5,0,15,7,Fusion Squash Club 3,Fusion Squash Club 3,Fusion Squash Club 3,Fusion Squash Club 3,Fusion Squash Club 3
TNG 3,RELAY 2,Cornwall Street Squash Centre,4,26/10/2024,1-4,"['0-3', '1-3', '0-3', '0-3', '3-1']",1,4,4,13,RELAY 2,RELAY 2,RELAY 2,RELAY 2,TNG 3
RELAY 2,Electrify Squash Div 15,Sir Denys Roberts Squash Court,5,23/11/2024,2-3,"['0-3', '1-3', '3-0', '3-0', '2-3']",2,3,9,9,Electrify Squash Div 15,Electrify Squash Div 15,RELAY 2,RELAY 2,Electrify Squash Div 15
i-Mask Advance Squash Club 6,TNG 3,Cornwall Street Squash Centre,5,23/11/2024,2-3,"['3-0', '3-0', '2-3', '2-3', '0-3']",2,3,10,9,i-Mask Advance Squash Club 6,i-Mask Advance Squash Club 6,TNG 3,TNG 3,TNG 3
Squash-On,Fusion Squash Club 3,HK Squash Centre,5,23/11/2024,3-2,"['3-0', '3-0', '0-3', '0-3', '3-0']",3,2,9,6,Squash-On,Squash-On,Fusion Squash Club 3,Fusion Squash Club 3,Squash-On
Serve - Ivors,Squashathon MeGa,HK Squash Centre,5,23/11/2024,0-5,"['CR', 'CR', 'CR', 'CR', 'CR']",0,5,0,15,,,,,
