Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against,CRs Given,CRs Received,WOs Given,WOs Received
Electrify Squash Div 13,22,21,1,112,91,19,7,10,0,5
Sha Tin 6,22,15,7,84,69,41,4,9,0,1
Fusion Squash Club 2,22,16,6,79,63,47,16,0,0,0
X-Alpha 5,22,13,9,74,66,43,0,21,5,5
SocGen Squash,22,11,11,72,61,49,9,7,0,0
Energy Squash Club 1,22,9,13,62,54,55,8,20,1,0
Happy Squash 4,22,10,12,59,49,61,0,14,0,8
Yuen Long District Sports Association Limited,22,7,15,50,43,67,3,27,0,0
Kinetic 4,22,7,15,46,44,66,3,14,0,0
i-Mask Advance Squash Club 5,22,7,15,43,36,74,41,11,0,0
Energy Squash Club 2,22,10,12,40,48,62,20,11,12,0
HKIS Div 13,22,6,16,39,34,74,41,8,1,0
