Team,Most Games,Most Wins,Highest Win Percentage
Banbil,"Foo Chun Huey, Au Ming Chung Sampson (11)","Foo Chun Huey, Leung Wai Kwan, Ton Ken-Edouard (5)",Leung Wai Kwan (83.3%)
Bravo D10,Wu Minyan (9),Chen Chao (2),Chen Chao (33.3%)
Hong Kong Cricket Club D10,Bernard Edwin (10),Lai Kwok Wai Wilfred (6),Bradbury Adrian (80.0%)
Kwai Tsing District Squash Club,Wu Ka Ho (10),Wu Ka Ho (7),Lam Chi Chris (83.3%)
Mercury,Ho Chi Hung Eric (10),Chau Hing Bor (5),Chau Hing Bor (55.6%)
RELAY 1,Cheung Danny Yui Nam (11),Cheung Danny Yui Nam (10),Cheung Danny Yui Nam (90.9%)
Sha Tin 4,"Poon Raymond Wai Man, Lau Hok Yin (10)","Poon Raymond Wai Man, Lau Hok Yin (10)","Tsoi Keith Tsz Fung, Poon Raymond Wai Man, Lau Hok Yin, Wai Brian Hok Chun, Fung Wing Hing (100.0%)"
Squashathon Advance,"Fong Ming Fung, Leung Hok Sum, Chow Ka Lun (8)","Chow Ka Lun, Di Fonzo Thomas (4)",Di Fonzo Thomas (80.0%)
Thunder 2,Cheung Alan Wing Lun (10),Lee Tommy Yun Wah (6),Lee Tommy Yun Wah (100.0%)
United Services Recreation Club 3,Chu Lap Sun (11),Cheng Jonathan Yee Fung (6),"Cheng Jonathan Yee Fung, Yu Chi Keung (60.0%)"
i-Mask Advance Squash Club 4,Chan Connal Tak Kay (10),Tse Percy Cheung Ka (5),Tse Percy Cheung Ka (62.5%)
