Team,Played,Won,Lost,Points,Rubbers For,Rubbers Against
Greenfield,10,9,1,46,37,13
TNG 1,9,8,1,42,34,11
Royal Hong Kong Yacht Club Div 13,10,8,2,42,34,16
TNG 2,9,7,2,36,30,15
Squashathon PLZ,10,5,5,35,30,20
North District Sports Association 2,10,5,5,29,24,26
Arctic Circle,10,4,6,28,24,26
Bravo D13,10,3,7,23,20,30
M&M Squash,9,4,5,21,18,27
Physical Chess 4,9,1,8,16,15,30
Star River 3,10,2,8,15,13,37
Vitality Squash 3,10,2,8,13,11,39
